question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
what does [Peter Forbes] appear in,The First Men in the Moon,the first men in the moon,N/A, the man who shot liberty valance
what films did [Felicity Huffman] act in,Transamerica|Georgia Rule,transamerica,Transamerica|Desperate Housewives|American Crime|Georgia Rule|Phoebe in Wonderland|Cake|Rudderless|House Arrest|Big Game|Christmas with the Kranks|Sports Night|Path to War|The Spanish Prisoner,the perfect storm
what movies was [Bill Nunn] an actor in,Firehouse Dog,firehouse dog,Do the Right Thing | Spider-Man | Sister Act | He Got Game | New Jack City | Money Train | School Daze | The Legend of 1900 | Regarding Henry | Sister Act 2: Back in the Habit | Runaway Jury |,the last time i saw marilyn manson i was eating a cookie and she was in the kitchen with me -> the last time i saw marilyn manson i was eating a cookie and she was in the kitchen with me 2 -> the last
what does [Ian Holm] appear in,Ratatouille|Brazil|Naked Lunch|Kafka|Night Falls on Manhattan|The Emperor's New Clothes|Wisconsin Death Trip|Dreamchild|Esther Kahn,ratatouille,"The Lord of the Rings trilogy, Alien, The Fifth Element, Ratatouille, Chariots of Fire.", the man who fell to earth
what films did [Christian Barbier] act in,Trans-Europ-Express,trans-europ-express,N/A,the last kiss
what movies was [Eugene Domingo] an actor in,The Woman in the Septic Tank,the woman in the septic tank,"Ang Babae sa Septic Tank, Kimmy Dora: Kambal sa Kiyeme, Kimmy Dora and the Temple of Kiyeme, Here Comes the Bride, Barber's Tales, Working Girls (2010), Instant Mom",the last commandment 2: the return of the king
what movies did [Colin Hanks] star in,Orange County|Untraceable|The Great Buck Howard|Lucky,untraceable,Orange County|King Kong|The House Bunny|The Great Buck Howard|The Guilt Trip|Parkland|High School|No Stranger Than Love|All Things Must Pass|Elvis & Nixon|Jumanji: Welcome to the Jungle|,the last samurai 2: the legend continues
what does [Adam Beach] appear in,Ice Soldiers,ice soldiers,Windtalkers|Flags of Our Fathers|Suicide Squad|Hostiles|Law & Order: Special Victims Unit,the last samurai 2: the legend continues
what does [Stathis Giallelis] appear in,Blue,blue,America America, the last kiss
what films did [Isidora Simijonovic] star in,Clip,clip,"Clip, Fever, The Parade, Atomski zdesna, Practical Guide to Belgrade with Singing and Crying, When I Grow Up, Loveless Zoritsa.",the man who loved women too much
what films did [Rachel True] star in,The Craft|Nowhere,nowhere,The Craft | Embrace of the Vampire | Nowhere | Half Baked | Groove | The Perfect Holiday | Sharknado 2: The Second One | Stealing Chanel | Bandwagon | A Crush on You | And Then There Was Eve,the last word on dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy d
what films did [Bess Armstrong] star in,Jaws 3-D|High Road to China|Jekyll and Hyde... Together Again,high road to china,Jaws 3-D | High Road to China | The House of God | Nothing in Common | Lace II | The Mosquito Coast | The Skateboard Kid | Pecker | Diamond Girl | That Was Then... This Is Now | Breaking the Silence,the man who loved women too much
what films does [Minka Kelly] appear in,The Roommate,the roommate,(500) Days of Summer|The Roommate|Just Go with It|The Butler|Papa: Hemingway in Cuba|Naked|The Beach House|Night Hunter|Away|Almost Human|The World Made Straight|Turbo,the girl next door 2
what films did [Robin Wright] act in,"Beowulf|Message in a Bottle|Toys|The Conspirator|Breaking and Entering|State of Grace|The Crossing Guard|The Singing Detective|She's So Lovely|Moll Flanders|Sorry, Haters|The Playboys",toys,Forrest Gump|The Princess Bride|Wonder Woman 1984|House of Cards|Blade Runner 2049|Unbreakable|State of Grace|The Playboys|Moll Flanders|Toys|Beowulf|, the last samurai 2: the action hero returns!
what movies did [Alan Marshal] act in,Conquest|The Howards of Virginia,conquest,The Hound of the Baskervilles | Night Must Fall | The Invisible Man Returns | How Green Was My Valley | This Above All | The Marshal Plan | The White Cliffs of Dover | The Adventures of Mark Twain | Destination Tokyo |,the man who knew too much
what movies was [Patrick Elyas] an actor in,The Young Black Stallion,the young black stallion,N/A.,the man who loved women too much
what does [James Millican] star in,I Was a Communist for the FBI,i was a communist for the fbi,Duel in the Sun|Winchester '73|The Glenn Miller Story|The Big Heat|The Black Knight|The Last Mile|The Sea Chase|Thunder Pass|Appointment with Danger|The Command|Saskatchewan|Alaska Seas|,the man who would be king
what does [Claude Lelouch] act in,Happy New Year,happy new year,"N/A (Claude Lelouch is primarily a director and has made occasional cameo appearances in his own films, but he is not known for his acting roles.)",les amants du columbus
what does [Mary Kay Place] star in,Captain Ron|Eye of God,eye of god,Mary Kay Place stars in the television series Big Love and the film Diane.,the last of the mohicans 2
what does [Candace Cameron Bure] star in,She Cried No,she cried no,Fuller House|Aurora Teagarden Mysteries|Christmas Under Wraps|The View,dance moms 2nd season
what movies was [Dev Patel] an actor in,The Last Airbender|Chappie|About Cherry,the last airbender,Slumdog Millionaire|The Last Airbender|The Best Exotic Marigold Hotel|Lion|Hotel Mumbai|The Personal History of David Copperfield|The Green Knight|The Wedding Guest|The Road Within|Chappie,the last king of scotland yard
what movies did [Swoosie Kurtz] act in,Dangerous Liaisons|Wildcats|A Shock to the System|The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,a shock to the system,"Liar Liar|Dangerous Liaisons|Cruel Intentions|Bubble Boy|True Stories|The Rules of Attraction|Living Out Loud|The World According to Garp|Bright Lights, Big City|Stanley & Iris|",the last of the mohicans 2
what films did [Ayu Kitaura] star in,Nobody Knows,nobody knows,N/A,the last samurai 2: the legend continues
what movies did [Vincent Price] star in,Laura|Vincent|House on Haunted Hill|The Last Man on Earth|House of Wax|The Abominable Dr. Phibes|The Masque of the Red Death|House of Usher|The Raven|Leave Her to Heaven|Theatre of Blood|Witchfinder General|The Tingler|Tales of Terror|Dr. Phibes Rises Again|The Haunted Palace|The Tomb of Ligeia|The Comedy of Terrors|The Whales of August|His Kind of Woman|The Bat|Dragonwyck|Madhouse|The Invisible Man Returns|The Monster Club|The Oblong Box|Twice-Told Tales|The Keys of the Kingdom|Dr. Goldfoot and the Bikini Machine|The Baron of Arizona|Diary of a Madman|Cry of the Banshee|The Bribe|The Long Night|Bloodbath at the House of Death|The Mad Magician|Champagne for Caesar|Dr. Goldfoot and the Girl Bombs|The House of the Seven Gables,the abominable dr. phibes,The Abominable Dr. Phibes | House of Wax | The Masque of the Red Death |  House on Haunted Hill | The Fly | The Raven | Edward Scissorhands | Laura | The Ten Commandments | Theatre of Blood, the last man on earth
what movies did [George Wendt] star in,House|Guilty by Suspicion,guilty by suspicion,Gung Ho|Fletch|House|Forever Young|Man of the House|Outside Providence|Black Sheep|Lakeboat|Kingpin|Saturday Night Live: The Best of John Belushi|Saturday Night Live: The Best of Dan Ay,the big lebowski
what movies did [Suroosh Alvi] star in,Heavy Metal in Baghdad,heavy metal in baghdad,N/A (Suroosh Alvi is not an actor and has not starred in any movies), the last song on earth
what does [Annie Shizuka Inoh] act in,"Good Men, Good Women","good men, good women",N/A,the last samurai 2: the legend continues
what films does [John Kahrs] appear in,Paperman,paperman,N/A,the last train from maryland 3-d
what films does [Marthe Villalonga] appear in,My Favorite Season,my favorite season,Le Grand Chemin|Les Soeurs fachees|Les Bronzes 3: Amis pour la Vie|Bienvenue chez les Rozes|La Vie Moderne (profile on IMDb shows 73 movies/TV series in total),the man who loved women too much
what does [Ciarán Hinds] star in,The Debt|Persuasion|Oscar and Lucinda|The Eclipse|Titanic Town,the debt,"The Terror, Harry Potter and the Deathly Hallows Part II, Game of Thrones, Justice League, First Man, There Will Be Blood.", the last king of scotland yard
what does [Y.K. Kim] star in,Miami Connection,miami connection,Miami Connection,the man from nowhere 2
what movies did [Azura Skye] act in,Sexual Life,sexual life,"28 Days, Bandits, Red Dragon, One Missed Call, The Killing Jar, The Bandit Hound, She's Missing.",the last kiss 2: the sequel to the last kiss
what does [Rory Cochrane] appear in,Empire Records|Sunset Strip|The Low Life,the low life,"Empire Records, Dazed and Confused, CSI: Miami, Argo.", the man who shot liberty valance
what does [Wally Cox] appear in,The Barefoot Executive,the barefoot executive,"Mr. Peepers, Hollywood Squares, and Underdog.",the man from l.a.
what does [Amanda Wyss] act in,A Nightmare on Elm Street|Powwow Highway,powwow highway,"Amanda Wyss has acted in movies such as A Nightmare on Elm Street, Fast Times at Ridgemont High, Better Off Dead, and Silverado.",the last of the mohicans 2: the legend of the lost tribe of the ojibway's
what does [Sultan Islamov] appear in,House of Fools,house of fools,N/A, the last man on earth
what films did [Fahadh Faasil] star in,Amen,amen,N/A,kadhalukku mariyadhai
what does [Branko Tomovic] appear in,Entity,entity,Unknown.,the man from nowhere
what films did [Ving Rhames] act in,Dawn of the Dead|Piranha 3D|Bringing Out the Dead|Striptease|Death Race 2|Undisputed|Echelon Conspiracy|Rosewood|Soldiers of Fortune|Zombie Apocalypse|The River Murders|Body Count|Shooting Gallery|Patty Hearst|Saving God,the river murders,Pulp Fiction|Mission: Impossible|Don King: Only in America|Dawn of the Dead|Con Air|Baby Boy|Django Unchained|Guardians of the Galaxy Vol. 2|Mission: Impossible II|Death Race,the last samurai 2: the action hero returns
what movies did [Shoshana Bush] star in,Dance Flick,dance flick,Dance Flick.,the last of the mohicans 2
what films did [Gale Sondergaard] star in,The Mark of Zorro,the mark of zorro,Anthony Adverse|The Life of Emile Zola|The Cat and the Canary|The Mark of Zorro|The Spider Woman|The Spider Woman Strikes Back|The Letter|Anna and the King of Siam|The Blue Bird|The, the man who would be king
what movies was [Meaghan Martin] an actor in,Geography Club,geography club,"Camp Rock, Camp Rock 2: The Final Jam, Mean Girls 2.",the girl next door 2
[Manuel Manquiña] appears in which movies,Airbag,airbag,Airbag|Torrente|All About My Mother|The End of a Mystery|Broken Embraces|Julia's Eyes|The Bar|I'm So Excited!|The Skin I Live In|The Man with Thousand Faces|T, The Last Days of Dolores Claiborne
what does [Ricky Gervais] star in,The Invention of Lying|Muppets Most Wanted|Cemetery Junction,cemetery junction,"The Office (UK version), Extras, Derek, After Life, and many movies including Ghost Town and The Invention of Lying.",the Invention of larry sturges ii
what does [Bret Roberts] appear in,The Violent Kind,the violent kind,N/A,the last of the mohicans
what movies did [J. Carrol Naish] star in,Sahara|Rage at Dawn|The Toast of New Orleans,sahara,"J. Carrol Naish starred in over 220 films, so it is not possible to list them all. Some notable films he appeared in include Sahara (1943), The Southerner (1945), and",the man who would be king
what films did [Paul Brannigan] star in,The Angels' Share,the angels' share,The Angels' Share.,the last train from mumbai
what films did [Jean Marsh] star in,Willow|Return to Oz,willow,"Upstairs, Downstairs|Willow|The Changeling|Frenzy|The Eagle Has Landed|The Company of Wolves|Return to Oz|The Witches|The Watcher in the Woods|The World of Eddie Weary",the man who knew too much 2nd edition
what films did [Alan Cumming] star in,Son of the Mask|Romy and Michele's High School Reunion|Emma|The Anniversary Party|Black Beauty|Boogie Woogie,the anniversary party,GoldenEye|Emma|Eyes Wide Shut|Spy Kids|X-Men 2|The Good Thief|Son of the Mask|The Smurfs|Battle of the Sexes|The Smurfs 2|After Louie|Battle, the last king of scotland
what does [Aneta Corsaut] star in,The Blob,the blob,The Andy Griffith Show.,the man who loved women too much
what films did [Frank Overton] act in,Desire Under the Elms,desire under the elms,"To Kill a Mockingbird|The Young Lions|Fail-Safe|Wild River|The Bedford Incident|The Long, Hot Summer|The Strange One|The Turner Diaries|The Tender Trap|A Thunder of Drums|The Right Approach",the man who would be king
what movies did [Nan Martin] act in,For Love of Ivy,for love of ivy,"The Terrorists|Hot Millions|Doctor's Wives|The Out-of-Towners|Up the Down Staircase|The Other Side of the Mountain|Good Luck, Miss Wyckoff|Dynamo|Go tell the Spartans|Mork",the man who shot liberty valance
what films did [Rumi Hiiragi] star in,Spirited Away,spirited away,Spirited Away.,the last samurai 2
what movies did [Ella Reid] act in,Caged Heat,caged heat,N/A,the man who knew too little
what does [Tyrese Gibson] appear in,Transformers|2 Fast 2 Furious|Four Brothers|Legion|Baby Boy|Waist Deep|The Take|Black Nativity,transformers,"Fast and Furious film series, Baby Boy, Transformers, Four Brothers, 2 Fast 2 Furious, etc.",the fast and the furious 6
what movies did [Alex Karzis] star in,Detention,detention,N/A,the last samurai 2: the legend continues
what films did [Joanna Pacula] act in,The Kiss,the kiss,Escape from Sobibor | The Kiss | Virus | Gorky Park | Less Than Zero | The Haunted | Ephraim's Rescue | The Cutter | The Last Days of Patton | Ghost Writer | Tombstone | No Place to Hide |,the last kiss 2: the sequel to the last kiss
what movies was [Cung Le] an actor in,Dragon Eyes,dragon eyes,The Man with the Iron Fists | Fighting | Tekken | Dragon Eyes | The Grandmaster | Puncture Wounds | Into the Badlands (TV series),the blood of others 2: revenge of the sith 2: revenge of the sith 2: revenge of the sith 2: revenge of the sith 2: revenge of the sith 2: revenge of the sith 2: revenge of
what movies was [Thommy Berggren] an actor in,Giliap,giliap,Scenes from a Marriage|The Apple War|The Touch|The Magic Flute|The Serpent's Way|The Unbearable Lightness of Being|The Best Intentions|Sunday's Children|Sånt är livet|Den,the girl with the dragon tattoo 2
what does [Robert Williams] star in,Platinum Blonde,platinum blonde,N/A,the man from l.a.w.a.k.i.e.s.t.a.r.d.
what does [Kathleen Ryan] act in,The Sound of Fury,the sound of fury,N/A, the man who would be king
[Zell Miller] appears in which movies,Fahrenhype 9/11,fahrenhype 9/11,N/A, The Man Who Knew Too Much
what movies did [Heather Ann Davis] star in,Breaking Wind,breaking wind,N/A (Heather Ann Davis is not a known actress),the last of the mohicans
what films does [Omari Hardwick] appear in,Middle of Nowhere,middle of nowhere,"Power, Sorry to Bother You, For Colored Girls, The A-Team, Kick-Ass, Miracle at St. Anna, The Guardian, The Runner, Chapter & Verse, Things Never Said, Middle of Nowhere, etc.", the game plan
what movies did [Rizwan Manji] star in,The Citizen,the citizen,The Dictator | Charlie Wilson's War | The Wolf of Wall Street | Transformers | The Tale of Despereaux | The Guru | The Man Who Wasn't There | Outsourced | Tranquility Base |The Tiger Hunter,the last train to london
what does [Marcus Patrick] star in,Violet Tendencies,violet tendencies,"N/A (as Marcus Patrick has appeared in various TV shows, movies and music videos)",the last of the mohicans 2
what does [Cole Sprouse] appear in,Just for Kicks,just for kicks,"Riverdale, Friends, The Suite Life of Zack & Cody, Big Daddy, Five Feet Apart.",the good son
what movies was [Robert Cummings] an actor in,"Dial M for Murder|Saboteur|Kings Row|Sleep, My Love|It Started with Eve|Princess O'Rourke",kings row,Saboteur|Kings Row|Dial M for Murder|The Devil and Miss Jones|Princess O'Rourke|The Bride Wore Boots|The Chase|The Bob Cummings Show|My Geisha|The Carpetbaggers|Stay,the man who loved women too much
[Ann Sheridan] appears in which movies,Angels with Dirty Faces|I Was a Male War Bride|They Drive by Night|The Man Who Came to Dinner|Dodge City|Kings Row|Black Legion|City for Conquest|Edge of Darkness|San Quentin|George Washington Slept Here|The Opposite Sex|Torrid Zone|The Unfaithful|Castle on the Hudson,edge of darkness,Kings Row|The Man Who Came to Dinner|Nora Prentiss|I Was a Male War Bride|The Unfaithful|The Glass Key|They Drive by Night|City for Conquest|Torrid Zone|Dodge City, The Man Who Came to Dinner
what does [Julie Harris] star in,East of Eden|The Haunting,east of eden,"Julie Harris starred in many movies and TV shows including East of Eden, The Member of the Wedding, Knots Landing, and The Haunting.", the man in the white suit
what movies was [Gemma Arterton] an actor in,Runner Runner|Byzantium|The Disappearance of Alice Creed|Tamara Drewe|The Voices,byzantium,Clash of the Titans|Prince of Persia: The Sands of Time|Quantum of Solace|Hansel & Gretel: Witch Hunters|The Girl with All the Gifts|Their Finest|The Escape|Lost in Austin|, the girl with the dragon tattoo
what does [Richard Briers] appear in,Watership Down,watership down,"Richard Briers appears in 'The Good Life', 'Ever Decreasing Circles', 'Monarch of the Glen', 'Peter's Friends', 'Watership Down', 'Henry V', 'Much Ado About Nothing', 'Mary Shelley's", the man who fell to earth
what does [Victor Mature] act in,My Darling Clementine|The Robe|Kiss of Death|Samson and Delilah|I Wake Up Screaming|Demetrius and the Gladiators|The Shanghai Gesture|Violent Saturday|The Last Frontier|Million Dollar Mermaid|One Million B.C.|Betrayed|The Las Vegas Story|The Big Circus,the shanghai gesture,Samson and Delilah | Kiss of Death | My Darling Clementine | The Robe | Demetrius and the Gladiators,the man who loved women too much
what films does [Dan Futterman] appear in,A Mighty Heart,a mighty heart,Capote|A Mighty Heart|Judging Amy|The Birdcage|Enough Said|Shooting Fish|Urbania|The In-Laws|Will & Grace|Sex and the City|Law & Order|Homicide: Life on,the last word on dvd-r dvd-r dvd-r dvd-r dvd-r dvd-r dvd-r dvd-r dvd-r dvd-r dvd-r dvd
what movies did [Peter Kastner] star in,You're a Big Boy Now,you're a big boy now,N/A,the man who would be king
what films does [Patricia Roc] appear in,Madonna of the Seven Moons,madonna of the seven moons,The Wicked Lady|The Brothers|Jassy|The Calendar|When the Bough Breaks|The White Unicorn|Macushla|Madonna of the Seven Moons|Millions Like Us|Love Story|Perfect Strangers|English, the man who would be king
what does [William Hickey] act in,The Nightmare Before Christmas,the nightmare before christmas,"National Lampoon's Christmas Vacation, The Nightmare Before Christmas, Prizzi's Honor.", the man who shot liberty valance 2nd edition 2nd edition -> the man who shot liberty valance 2nd edition 2nd edition -> the man who shot liberty valance 2nd edition 2nd edition -> the man who shot liberty valance 2
what does [Esther Furst] appear in,Ring of Terror,ring of terror,N/A,the man who would be king
what does [Odette Annable] star in,And Soon the Darkness,and soon the darkness,"House MD, Cloverfield, Supergirl, Banshee, and October Road.",the last time i saw marie she was sleeping. i was in it. i was in it. i was in it. i was in it. i was in it. i was in it. i was in it. i was in it
what films did [Carrie Snodgress] star in,The Fury|Blue Sky|Murphy's Law|Diary of a Mad Housewife,murphy's law,Diary of a Mad Housewife | Pale Rider | The Fury | Wild Things | The Redemption of Henry Myers, the last of the mohicans 2
what movies did [Casper Van Dien] act in,The Omega Code|Python|Shark Attack|Tarzan and the Lost City|Aces 'N' Eights,shark attack,Starship Troopers|Sleepy Hollow|The Omega Code|The Curse of King Tut's Tomb|Avenging Angel|Modern Vampires|The Pact|The Vector File|Python's Paradise|The Fallen Ones|Star Raiders: The, the last samurai 2: the revenge of japanese cinema in america 2: the revenge of japanese cinema in america 2: the revenge of japanese cinema in america 2: the revenge of japanese cinema in americ
what films does [Suzanne Fields] appear in,Flesh Gordon,flesh gordon,N/A,the last of the mohicans 2: the legend of the lost tribe of the ojibway
what movies did [Kevin Zegers] star in,Frozen|It's a Boy Girl Thing,frozen,"Air Bud, Dawn of the Dead, Transamerica, The Mortal Instruments: City of Bones, In the Mouth of Madness, and many more.",the last airbender 2: the next generation
what movies did [Pascale Ogier] act in,Full Moon in Paris,full moon in paris,Full Moon in Paris | Les Nuits de la pleine lune | Série noire | The Future Is Woman | A nos amours | Le Pont du Nord | La Bande des quatre | Cinématon,the girl with the dragon tattoo
what films does [John Cromwell] appear in,Memorial Day,memorial day,N/A (John Cromwell was a film director and did not appear in films as an actor), the man who would be king
what films did [Sharon Tate] star in,Valley of the Dolls|The Wrecking Crew,valley of the dolls,Eye of the Devil | The Fearless Vampire Killers | Valley of the Dolls | Don't Make Waves | The Wrecking Crew | 12 + 1 | The Ghost of the Noonday Sun,the night of the sable moon
what movies did [Amy Matysio] star in,WolfCop,wolfcop,Lawrence & Holloman | Just Friends | The Pinkertons | A.R.C.H.I.E. | Corner Gas: The Movie | Blackstone | Less Than Kind | The Solutrean | The Phantoms | Wolf Canyon | The,the last samurai 2: the legend continues
what films did [Michael Latimer] act in,Prehistoric Women,prehistoric women,N/A, the man who would be king
what movies did [Satoshi Tsumabuki] star in,Waterboys,waterboys,"Waterboys | Josee, the Tiger and the Fish | Dororo | The Fast and the Furious: Tokyo Drift | Tokyo! | For Love's Sake | The Vancouver Asahi | The Assassin's Blade | The Little House | Orange |",the last samurai 2
[Cynda Williams] appears in which movies,One False Move|Caught Up,one false move,Mo' Better Blues | One False Move | Tales from the Hood | Tycoon | The Killing Zone | Caught Up | Falling Angels | One Night Stand | Strange As Angels | Street Time, The Man Who Loved Women
what films does [Adrienne Ames] appear in,The Death Kiss,the death kiss,Night Life of the Gods|The Death Kiss|Murder By the Clock|The Three Musketeers|The Greeks Had a Word for Them|The Silk Express|One Year Later|Employee's Entrance|Guilty as Hell|The Big Noise,the last of the mohicans 2: the legend of the lost tribe of the ojibway
what does [Alec Baldwin] appear in,Beetlejuice|The Hunt for Red October|Rise of the Guardians|Fun with Dick and Jane|It's Complicated|Elizabethtown|The Edge|Mercury Rising|My Best Friend's Girl|The Shadow|Malice|The Getaway|The Juror|Lymelife|She's Having a Baby|Ghosts of Mississippi|Prelude to a Kiss|Miami Blues|Heaven's Prisoners|The Marrying Man|The Last Shot|Path to War|The Confession|A Streetcar Named Desire,the shadow,"30 Rock, Beetlejuice, The Departed, Glengarry Glen Ross, It's Complicated, The Aviator, The Boss Baby, Mission: Impossible - Rogue Nation, Saturday Night Live.", the last time i saw harry...i was eating a hot dog...and he was eating a hot dog...and we were both wearing sunglasses...and we were both eating hot dogs...and we were both wearing sunglasses...and we were both eating
what films does [Nick Cheung] appear in,Exiled|Breaking News,breaking news,"The White Storm, Beast Stalker, Election, Unbeatable, Unforgivable, Bodyguards and Assassins, The Stool Pigeon, Exiled, Connected, Gallants, etc.",the killer is loose in hong kong 2
what does [Dexter Fletcher] appear in,Below|The Rachel Papers,below,"Lock, Stock and Two Smoking Barrels | Bugsy Malone | Press Gang | Band of Brothers | Kick-Ass | Topsy-Turvy | Doom | Hotel Babylon | Stardust | The Elephant Man | The Long Good Friday | I Love You Phillip",the boy in the striped pajamas
what films did [Jun Tazaki] star in,Destroy All Monsters,destroy all monsters,N/A,the last samurai 2: the legend continues
what movies was [Daisy Betts] an actor in,Caught Inside,caught inside,Daisy Betts acted in the movies Shutter and Caught Inside.,the last of the mohicans
what does [Eric Lange] appear in,AM1200,am1200,Escape at Dannemora | Narcos | Lost | The Bridge | Suits | Modern Family | Victorious | Criminal Minds | The Mentalist | The Blacklist | NCIS: Los Angeles | Bones | CSI: Miami | Weeds | Avatar, the man from london town
what films did [Tia Texada] act in,Spartan,spartan,"Gloria, Paulie, Phone Booth, Spartan, 10,000 Black Men Named George, Bait, From Dusk Till Dawn, Nurse Betty, Ballistic: Ecks vs. Sever, Sergeant Bilko, Crime + Punishment",the last samurai 2: the action hero returns
what films does [Hanna Mangan Lawrence] appear in,The Reckoning,the reckoning,Thirst | X: Night of Vengeance | Acolytes | The Square | Beyond the Known World | Anzac Girls | Spartacus: War of the Damned | Old School | Tangle | The Outlook for Someday | Goddess |,the man who shot liberty valance
what does [Elizabeth Allan] act in,Camille|A Tale of Two Cities|Mark of the Vampire,camille,N/A (there are multiple actresses named Elizabeth Allan who have acted in various movies and TV shows),the man who would be king
what movies did [Bella Darvi] star in,Hell and High Water,hell and high water,N/A (Bella Darvi passed away in 1971 and did not act in movies after that year),the last man on earth
what films did [Yukiko Kobayashi] star in,Destroy All Monsters,destroy all monsters,N/A,the last samurai 2: the legend continues
what does [Elisabeth Shue] act in,The Karate Kid|Hollow Man|Leaving Las Vegas|Piranha 3D|Cocktail|House at the End of the Street|The Saint|Adventures in Babysitting|Palmetto|The Trigger Effect|Molly|Link|Janie Jones|Waking Madison,the saint,"The Karate Kid, Leaving Las Vegas, Adventures in Babysitting, CSI: Crime Scene Investigation",the last time i saw paris... i was in a hurry... i was in a hurry... i was in a hurry... i was in a hurry... i was in a hurry... i was in a hurry... i was in a hurry...
what does [Margaret Field] appear in,The Man from Planet X,the man from planet x,N/A, the man who shot liberty valance
what does [Arthur Godfrey] star in,The Glass Bottom Boat,the glass bottom boat,"Arthur Godfrey starred in various TV shows and films including Arthur Godfrey's Talent Scouts, The Arthur Godfrey Show, and The Great Waltz.", the story of the three little pigs
what does [Magda Apanowicz] appear in,Devil's Diary,devil's diary,"Caprica, Continuum, The Green Inferno, Simon Says, The Butterfly Effect, Kyle XY",the man who knew too much
what does [Bruce Perens] act in,Revolution OS,revolution os,N/A,the last samurai 2: the legend continues -> the last samurai 2: the legend continues -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 -> 2003 ->
what films does [Lisa Gastoni] appear in,"Wild, Wild Planet","wild, wild planet",Il sorpasso | Senso '45 | I promessi sposi | La ragazza di Bube | La notte brava | La cintura di castità | The Shortest Day | Any Number Can Win | Sweet Charity |,the last of the mohicans 2: the legend of the lost tribe of the ojibway
what does [Oscar Redding] star in,Van Diemen's Land,van diemen's land,N/A,the man who shot liberty valance
what films does [Spike Lee] appear in,Jungle Fever|Mo' Better Blues|Girl 6|She's Gotta Have It,jungle fever,"Spike Lee appears in his own films as a director, but does not have a significant acting career. N/A",jungle fever
what movies did [Derek Lee] act in,Afflicted,afflicted,N/A,the last samurai 2: the legend continues
what movies did [Jennifer Westfeldt] act in,Friends with Kids|Kissing Jessica Stein,kissing jessica stein,Kissing Jessica Stein | Ira & Abby | Friends with Kids | Keep the Change, the new girl in town 2: the new girl in town 2: the new girl in town 2: the new girl in town 2: the new girl in town 2: the new girl in town 2: the new girl in town 2: the
what films does [Rhys Williams] appear in,The Corn Is Green,the corn is green,N/A (The question is too broad and there are several actors with the name Rhys Williams who have appeared in numerous films),the man who knew too much
what films does [Charles Cioffi] appear in,Klute|Shaft,klute,Klute|Shaft|All the President's Men|Silent Rage|Report to the Commissioner|Shaft's Big Score!|The Stepford Wives|The Andros Targets|The Next Man|A Cry for Help|Case, the man who would be king
what movies did [Nicholas Woodeson] star in,Dreaming of Joseph Lees,dreaming of joseph lees,The List of movies Nicholas Woodeson starred in is not available.,the last of the mohicans 2: the legend of the lost tribe of israel
what films did [Stéphane Audran] act in,Les Biches,les biches,"Babette's Feast|The Discreet Charm of the Bourgeoisie|Muriel, or The Time of Return|The Big Red One|Violette Nozière|Les Biches|Le Boucher|The Black Bird",the man who loved women too much
what does [Greg Bryk] appear in,Poor Boy's Game,poor boy's game,Mary Kills People|12 Monkeys|The Handmaid's Tale|Frontier|Wynonna Earp|ReGenesis|Bitten|Saw V|A History of Violence|The Incredible Hulk|Shoot 'Em Up|Poor Boy's,the last of the mohicans 2: the legend of the lost tribe of the ojibway
what movies was [Mía Maestro] an actor in,The Speed of Thought,the speed of thought,Frida | The Motorcycle Diaries | Poseidon | Savages | The Twilight Saga: Breaking Dawn – Part 1 | The Burning Plain |The Tango Singer | Timecode | The City of Your Final Destination | Ainderby Steeple, the man who knew too little
what does [Catherine McCormack] star in,Dangerous Beauty|The Land Girls,dangerous beauty,Braveheart | Spy Game | 28 Weeks Later | The Land Girls,the last of the mohicans 2: the legend of the wild frontier
what movies was [Lee Tracy] an actor in,Doctor X|Bombshell|Blessed Event,bombshell,Doctor X | Bombshell | Dinner at Eight | The Nuisance | Blessed Event | The Half-Naked Truth | Crashing Hollywood | Big City Blues | Clear All Wires! | Love Is a Racket | She Had to Say Yes |,the man who knew too much
what does [Alan Van Sprang] act in,Survival of the Dead,survival of the dead,"Reign, Shadowhunters, Saw III, Immortals, The Tudors.", the man from nowhere 2nd edition
[Rebecca Pidgeon] appears in which movies,The Spanish Prisoner|Edmond|The Winslow Boy,the winslow boy,The Spanish Prisoner|The Winslow Boy|Heist|State and Main|The Children of Chabannes|The David Cassidy Story|Redbelt|Ten Days Wonder|The Dawning|The Shell Seekers|The Perfect Son|Three, The Man Who Cried Murder? (1956) -> the man who cried murder? (1956) -> the man who cried murder? (1956) -> the man who cried murder? (1956) -> the man who cried murder
what movies did [Charlotte Greenwood] star in,Oklahoma!|Down Argentine Way|The Man in Possession|So Long Letty,oklahoma!,"The movies Charlotte Greenwood starred in are: So This Is Love (1928), Caught Plastered (1931), Too Many Cooks (1931), Palmy Days (1931), Hold Your Man",the man who knew too much
